1970	1970-02-22	3	5436	THE HOUSE ON THE STRAND	Daphne du Maurier
1970	1970-02-22	4	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-02-22	5	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-02-22	6	1822	FIRE FROM HEAVEN	Mary Renault
1970	1970-02-22	7	5471	THE INHERITORS	Harold Robbins
1970	1970-02-22	8	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-02-22	9	2407	IN THIS HOUSE OF BREDE	Rumer Godden
1970	1970-02-22	10	3660	PUPPET ON A CHAIN	Alistair MacLean
1970	1970-03-01	1	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-03-01	2	5279	THE GODFATHER	Mario Puzo
1970	1970-03-01	3	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-03-01	4	5436	THE HOUSE ON THE STRAND	Daphne du Maurier
1970	1970-03-01	5	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-03-01	6	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-03-01	7	1822	FIRE FROM HEAVEN	Mary Renault
1970	1970-03-01	8	2816	LOVE STORY	Erich Segal
1970	1970-03-01	9	3660	PUPPET ON A CHAIN	Alistair MacLean
1970	1970-03-01	10	5471	THE INHERITORS	Harold Robbins
1970	1970-03-08	1	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-03-08	2	5279	THE GODFATHER	Mario Puzo
1970	1970-03-08	3	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-03-08	4	5436	THE HOUSE ON THE STRAND	Daphne du Maurier
1970	1970-03-08	5	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-03-08	6	5471	THE INHERITORS	Harold Robbins
1970	1970-03-08	7	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-03-08	8	2816	LOVE STORY	Erich Segal
1970	1970-03-08	9	3660	PUPPET ON A CHAIN	Alistair MacLean
1970	1970-03-08	10	1822	FIRE FROM HEAVEN	Mary Renault
1970	1970-03-15	1	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-03-15	2	5279	THE GODFATHER	Mario Puzo
1970	1970-03-15	3	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-03-15	4	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-03-15	5	5436	THE HOUSE ON THE STRAND	Daphne du Maurier
1970	1970-03-15	6	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-03-15	7	2816	LOVE STORY	Erich Segal
1970	1970-03-15	8	5471	THE INHERITORS	Harold Robbins
1970	1970-03-15	9	3660	PUPPET ON A CHAIN	Alistair MacLean
1970	1970-03-15	10	1822	FIRE FROM HEAVEN	Mary Renault
1970	1970-03-22	1	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-03-22	2	5279	THE GODFATHER	Mario Puzo
1970	1970-03-22	3	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-03-22	4	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-03-22	5	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-03-22	6	2816	LOVE STORY	Erich Segal
1970	1970-03-22	7	5436	THE HOUSE ON THE STRAND	Daphne du Maurier
1970	1970-03-22	8	49	A BEGGAR IN JERUSALEM	Elie Wiesel
1970	1970-03-22	9	3660	PUPPET ON A CHAIN	Alistair MacLean
1970	1970-03-22	10	5471	THE INHERITORS	Harold Robbins
1970	1970-03-29	1	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-03-29	2	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-03-29	3	5279	THE GODFATHER	Mario Puzo
1970	1970-03-29	4	2816	LOVE STORY	Erich Segal
1970	1970-03-29	5	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-03-29	6	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-03-29	7	5436	THE HOUSE ON THE STRAND	Daphne du Maurier
1970	1970-03-29	8	5471	THE INHERITORS	Harold Robbins
1970	1970-03-29	9	3660	PUPPET ON A CHAIN	Alistair MacLean
1970	1970-03-29	10	1822	FIRE FROM HEAVEN	Mary Renault
1970	1970-04-05	1	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-04-05	2	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-04-05	3	2816	LOVE STORY	Erich Segal
1970	1970-04-05	4	5279	THE GODFATHER	Mario Puzo
1970	1970-04-05	5	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-04-05	6	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-04-05	7	5436	THE HOUSE ON THE STRAND	Daphne du Maurier
1970	1970-04-05	8	49	A BEGGAR IN JERUSALEM	Elie Wiesel
1970	1970-04-05	9	5471	THE INHERITORS	Harold Robbins
1970	1970-04-05	10	3660	PUPPET ON A CHAIN	Alistair MacLean
1970	1970-04-12	1	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-04-12	2	2816	LOVE STORY	Erich Segal
1970	1970-04-12	3	5279	THE GODFATHER	Mario Puzo
1970	1970-04-12	4	6956	TRAVELS WITH MY AUNT	Graham Greene
